	DS40	HA41	HA42	HA43	HA44	HA45	HA46	HA47	HA50	HG56	DS31	HG57	LG74	LG75	LG76	LG77	LN71	LN72	LN73	MB10	MB1	DS32	MB3	MB4	MB5	MB6	MB7	MB8	MFB16	MFB17	MFB18	MFB19	DS33	MFB20	MFB26	MFB27	MFB28	MFB29	MFB30	MFR11	MFR12	MFR13	MFR14	DS34	MFR15	MFR21	MFR22	MFR23	MFR24	MFR25	NC68	DS35	DS36	DS37	DS38	DS39
ASV_49	0	0	0	0	0	0	0	0	0	0	0	0	12832	11995	2431	700	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0
ASV_50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1459	2038	838	1443	0	7296	1343	946	2902	777	1271	324	2470	1591	722	0	1476	268	152	68	345	215	0	0	0	0	0	0
ASV_51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	30	15523	4837	5729	0	0	0	0	0	0	0	0	0	65	56	26	47	0	77	8	3	0	5	4	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3501	8987	0	248	2352	2136	3015	4359	1112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_53	0	0	0	0	0	0	0	0	0	17157	0	8277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_54	120	0	0	601	0	11	0	0	0	0	1288	0	0	0	21	0	0	0	0	102	14	1465	0	5	44	0	0	0	0	17	15	0	1947	0	103	4455	664	20	7318	0	18	31	49	3022	0	12	0	122	355	0	0	2020	171	365	615	102
ASV_55	0	0	0	0	0	0	0	0	0	11502	0	13473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3364	3429	0	175	2266	1738	2660	3057	1213	165	0	0	81	0	96	0	0	0	0	0	751	511	505	383	0	615	386	1013	788	973	763	0	0	0	0	0	0
ASV_57	0	23093	0	0	20	70	0	0	150	0	0	0	58	19	81	31	5	0	0	0	0	0	0	0	0	0	0	6	0	0	36	8	0	0	24	100	70	52	37	35	37	0	51	0	38	0	0	17	69	36	0	0	0	0	0	0
ASV_58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	274	299	0	0	0	0	0	0	0	0	0	857	0	49	478	0	76	1058	97	471	14272	599	320	313	492	277	0	308	202	465	289	315	642	0	0	0	0	0	0
ASV_59	0	0	0	0	0	0	0	0	0	27	0	11	0	0	0	0	0	0	0	419	668	0	0	65	0	400	309	558	2000	437	205	233	0	98	1474	4478	3282	2560	3115	41	69	83	36	0	109	243	275	117	523	159	0	15	0	0	0	0
ASV_60	402	0	0	0	0	0	0	0	0	0	15152	0	0	0	0	0	0	0	0	0	0	1578	0	0	0	0	0	0	0	0	0	0	1922	0	0	0	0	0	0	0	0	0	0	623	0	0	0	0	0	0	0	322	25	123	0	1208
ASV_61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	127	0	14	34	0	0	48	0	0	30	0	1850	714	949	712	16	1205	6132	1377	1054	3368	3598	0	0	0	21	3	0
ASV_62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2676	32	227	535	0	132	7397	95	614	611	8195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_63	71	0	0	58	0	11	0	0	0	0	6489	0	0	0	18	0	0	0	0	0	0	2205	0	0	0	0	0	0	0	0	0	5	4672	0	0	0	0	0	0	64	0	0	0	1751	0	0	0	0	0	0	0	2462	15	2451	0	103
ASV_64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	30	70	0	15	0	0	0	0	0	2962	2328	2049	3124	0	3221	1003	1196	836	1820	1395	0	0	0	0	0	0
ASV_65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	411	95	115	0	41	2710	7798	693	6885	775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
ASV_66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	1357	0	6272	2546	6765	683	33	1826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9911	717	2827	239	3216	0	0	0	10	0	95	0	0	16	2193	6	0	0	0	0	0	0
ASV_68	0	0	0	0	0	0	0	0	0	13809	0	4988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	976	13301	1759	1219	0	191	19	93	239	292	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2586	73	0	1144	426	454	4104	6253	2959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_71	0	0	41	0	174	20	0	0	0	0	0	0	177	78	59	92	312	83	1261	2494	416	0	46	0	45	683	286	672	2263	304	522	1478	0	279	393	641	2207	674	247	0	84	0	0	0	0	196	418	543	220	494	0	0	0	0	0	0
ASV_72	0	0	186	72	50	82	0	0	0	9925	0	7252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4478	96	294	1088	0	515	250	27	158	59	775	898	616	526	939	0	474	493	1633	1428	842	1684	0	0	0	0	0	0
ASV_74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4444	0	0	0	0	0	1027	433	11250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8421	4170	4418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_76	1529	0	0	0	0	0	0	0	0	0	828	0	0	7	4	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	1092	0	0	0	0	6	0	18	0	0	0	107	0	0	0	0	0	0	0	611	381	11716	210	205
ASV_77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4300	4913	7519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
